demand_orange1L,demand_mango1L,demand_C1L,demand_orangePET,demand_cpowerPET,demand_mangoPET
165490,3690,19200,140256,14400,85824
105230,9600,24460,118800,8112,39744
102630,14780,110040,128064,14976,74784
191890,22280,14980,154464,21600,39264
107080,7800,5760,124608,26016,43488
70140,10780,23470,205392,25392,8640
206430,10850,15030,117888,11040,46992
169200,3460,39490,192384,45744,64608
148080,22560,6140,95376,19584,43776
55610,10340,34670,124416,19200,73632
44550,3110,36870,160080,10944,26592
206180,16330,17740,248448,23760,25920
109280,12130,52310,302256,20016,40128
73800,12600,5040,146352,18720,5760
97590,5460,55620,106560,14976,92544
185770,11990,55590,102960,12048,21264
119770,13200,36390,177744,23616,54336
138060,12060,61230,125088,31920,153744
164860,16850,111830,32784,17280,49440
194180,14450,14400,136272,20448,15552
68510,12820,24010,203664,10752,37680
96520,17350,28710,109344,27408,46512
137570,13200,52480,115200,9696,65328
45630,20510,26820,169968,9216,46080
146740,2490,47120,123312,24624,75600
97580,10630,61610,321120,15408,47376
